Id;CodeCIS;Denomination;FormePharma;EstCommercialisée;StatutBDM;NoUE_autorisation;Titulaire(s);surveillance;JJ_MM_AAAA;idProcédure;idStatutAdmin
9312;65861594;FEBUXOSTAT SANDOZ 80 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;SANDOZ;FAUX;21/07/2017;4;1
9313;65862059;ARTHROCINE 100 mg, comprimé;comprimé;FAUX;;;MEDAC;FAUX;05/12/1996;2;1
9314;65862671;RAMIPRIL/HYDROCHLOROTHIAZIDE EG 5 mg/12,5 mg, comprimé;comprimé;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;30/04/2012;1;1
9315;65864291;SIMVASTATINE ALTER 20 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;VRAI;Warning disponibilité;;LABORATOIRES ALTER;FAUX;21/09/2005;1;1
9316;65864619;NUCALA 100 mg, poudre pour solution injectable;poudre pour solution injectable;FAUX;;EU/1/15/1043;GLAXOSMITHKLINE TRADING SERVICES (IRLANDE);FAUX;02/12/2015;5;1
9317;65865831;AMIODARONE CRISTERS 200 mg, comprimé sécable;comprimé sécable;FAUX;;;CRISTERS;FAUX;09/02/2000;2;1
9318;65868763;ALPRAZOLAM CRISTERS 0,50 mg, comprimé sécable;comprimé sécable;FAUX;;;CRISTERS;FAUX;11/06/2003;2;1
9319;65869160;INOVELON 400 mg, comprimé pelliculé;comprimé pelliculé sécable;FAUX;;EU/1/06/378;EISAI (ROYAUME-UNI);FAUX;16/01/2007;5;1
9320;65869452;DEBRIDAT 50 mg/5 ml, solution injectable en ampoule;solution injectable;VRAI;Warning disponibilité;;PFIZER HOLDING FRANCE;FAUX;12/10/1988;2;1
9321;65869609;TAMSULOSINE CRISTERS LP 0,4 mg, gélule à libération prolongée;gélule à libération prolongée;FAUX;;;CRISTERS;FAUX;09/09/2008;2;1
9322;65869623;TADALAFIL ALMUS 5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ALMUS FRANCE;FAUX;04/08/2022;4;1
9323;65870700;BUVIDAL 128 mg, solution injectable à libération prolongée;solution injectable à libération prolongée;FAUX;;EU/1/18/1336;CAMURUS (SUEDE);FAUX;20/11/2018;5;1
9324;65871581;TESTAVAN 20 mg/g, gel transdermique;gel;FAUX;;;THE SIMPLE PHARMA COMPANY (IRLANDE);FAUX;27/04/2018;4;1
9325;65872950;FLUOXETINE ZYDUS 20 mg, gélule;gélule;FAUX;;;ZYDUS FRANCE;FAUX;08/01/2002;2;1
9326;65874385;LANSOPRAZOLE TEVA SANTE 30 mg, gélule gastro-résistante;gélule gastro-résistant(e);FAUX;;;TEVA SANTE;FAUX;23/07/2007;2;1
9327;65878362;CELECOXIB ZYDUS 200 mg, gélule;gélule;FAUX;;;ZYDUS FRANCE;FAUX;01/08/2014;2;1
9328;65878914;ROPIVACAINE KABI 5 mg/ml, solution injectable en ampoule;solution injectable;FAUX;;;FRESENIUS KABI FRANCE;FAUX;22/11/2010;4;1
9329;65880178;CLARITHROMYCINE VIATRIS 25 mg/ml, granulés pour suspension buvable;granulés pour suspension buvable;FAUX;;;VIATRIS SANTE;FAUX;11/04/2008;2;1
9330;65880420;FLUCONAZOLE PFIZER 200 mg, gélule;gélule;FAUX;;;PFIZER HOLDING FRANCE;FAUX;23/02/1995;1;1
9331;65880598;BACTRIM, suspension buvable;suspension buvable;VRAI;Warning disponibilité;;EUMEDICA PHARMACEUTICALS (ALLEMAGNE);FAUX;02/03/1982;2;1
9332;65881230;IKERVIS 1 mg/mL, collyre en émulsion;collyre en émulsion;FAUX;;EU/1/15/990;SANTEN OY;FAUX;19/03/2015;5;1
9333;65881579;PARACETAMOL ZYDUS 1 g, comprimé;comprimé;FAUX;;;ZYDUS FRANCE;FAUX;13/02/2006;2;1
9334;65883338;CARBAMAZEPINE SANDOZ L.P. 400 mg, comprimé pelliculé sécable à libération prolongée;comprimé pelliculé sécable à libération prolongée;FAUX;;;SANDOZ;FAUX;10/10/1997;2;1
9335;65883886;ZOPICLONE ZYDUS 7,5 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;ZYDUS FRANCE;FAUX;04/01/2001;2;1
9336;65883904;EAU POUR PREPARATIONS INJECTABLES B. BRAUN, solvant pour préparation parentérale en ampoule;solvant pour préparation parentérale;FAUX;;;B BRAUN MELSUNGEN;FAUX;07/01/1997;2;1
9337;65884187;IASOCHOLINE 1 GBq/mL, solution injectable;solution injectable;FAUX;;;CURIUM AUSTRIA (AUTRICHE);FAUX;02/04/2010;1;1
9338;65884582;ADREVIEW [123I] 74 MBq/mL, solution injectable;solution injectable;FAUX;;;GE HEALTHCARE;FAUX;22/02/2005;2;1
9339;65888082;ZOPICLONE CRISTERS 7,5 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;VRAI;Warning disponibilité;;CRISTERS;FAUX;29/12/1999;2;1
9340;65889234;AUREOMYCINE EVANS 1 POUR CENT, pommade ophtalmique;pommade;FAUX;;;SCA PHARMA;FAUX;18/08/1992;2;1
9341;65889825;BRIMONIDINE SANDOZ 0,2 % (2 mg/ml), collyre en solution;collyre en solution;VRAI;Warning disponibilité;;SANDOZ;FAUX;20/03/2009;4;1
9342;65889939;GABAPENTINE ARROW GENERIQUES 300 mg, gélule;gélule;FAUX;;;ARROW GENERIQUES;FAUX;12/07/2011;4;1
9343;65891541;ELUSANES SALICAIRE 200 mg, gélule;gélule;VRAI;Warning disponibilité;;PIERRE FABRE MEDICAMENT;FAUX;16/02/2015;6;2
9344;65891566;EFFICORT HYDROPHILE 0,127 %, crème;crème;FAUX;;;LABORATOIRES BAILLEUL (LUXEMBOURG);FAUX;06/04/1988;2;1
9345;65892928;LAROXYL 25 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;TEOFARMA;FAUX;17/04/1991;2;1
9346;65893318;RISPERDALCONSTA L.P. 50 mg/2 ml, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie;poudre et  solvant pour suspension injectable à libération prolongée;FAUX;;;JANSSEN CILAG;FAUX;07/10/2003;1;1
9347;65893688;CLIMODIENE 2 mg/2 mg, comprimé enrobé;comprimé enrobé;VRAI;Warning disponibilité;;BAYER HEALTHCARE;FAUX;31/10/2001;1;2
9348;65894174;DOCETAXEL ACCORD 20 mg/1 ml, solution à diluer pour perfusion;solution à diluer pour perfusion;FAUX;;EU/1/12/769;ACCORD HEALTHCARE (ESPAGNE);FAUX;22/05/2012;5;1
9349;65894676;CHIMAPHILA UMBELLATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;10/12/2010;3;1
9350;65894808;FAZOL, crème;crème;FAUX;;;ALLIANCE PHARMA (IRLANDE);FAUX;07/08/1978;2;1
9351;65896314;IMATINIB ACCORD 100 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/13/845;ACCORD HEALTHCARE (ESPAGNE);FAUX;01/07/2013;5;1
9352;65897327;ACETYLLEUCINE TEVA 500 mg, comprimé;comprimé;FAUX;;;TEVA SANTE;FAUX;14/02/2012;2;1
9353;65898475;FELDENE 20 mg, suppositoire;suppositoire;VRAI;Warning disponibilité;;PFIZER HOLDING FRANCE;FAUX;19/05/1983;2;1
9354;65898870;URION 2,5 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;ZAMBON FRANCE;FAUX;19/09/1990;2;2
9355;65899004;EBILFUMIN 30 mg, gélule;gélule;FAUX;;EU/1/14/915;ACTAVIS GROUP PTC (ISLANDE);FAUX;22/05/2014;5;1
9356;65899367;CARBOCISTEINE ZENTIVA CONSEIL 5 % ADULTES SANS SUCRE, sirop édulcoré à la saccharine sodique;sirop;FAUX;;;ZENTIVA FRANCE;FAUX;19/05/2003;2;1
9357;65899602;LIKOZAM 1 mg/ml, suspension buvable;suspension buvable;FAUX;;;TAW PHARMA (IRLANDE);FAUX;10/02/2016;4;1
9358;65900339;ACETATE DE CYPROTERONE ARROW 100 mg, comprimé sécable;comprimé sécable;FAUX;;;ARROW GENERIQUES;FAUX;11/09/2008;2;1
9359;65900346;DARUNAVIR ZENTIVA 600 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ZENTIVA FRANCE;FAUX;19/02/2018;4;1
9360;65902977;AMOXICILLINE TEVA SANTE 500 mg/5 ml, poudre pour suspension buvable;poudre pour suspension buvable;FAUX;;;TEVA SANTE;FAUX;30/10/2002;2;1
9361;65903335;RADIOGARDASE 500 mg, gélule;gélule;FAUX;;;SERB (BELGIQUE);FAUX;30/03/2016;2;1
9362;65904024;FENTANYL ZENTIVA 25 microgrammes/heure, dispositif transdermique;dispositif;FAUX;;;ZENTIVA FRANCE;FAUX;28/07/2008;1;1
9363;65904501;CHLORMADINONE VIATRIS 5 mg, comprimé;comprimé;FAUX;;;VIATRIS SANTE;FAUX;24/11/2003;2;1
9364;65905051;ARGANOVA 100 mg/mL, solution à diluer pour perfusion en multidose;solution à diluer pour perfusion;FAUX;;;MITSUBISHI TANABE PHARMA (ALLEMAGNE);FAUX;22/04/2015;1;1
9365;65906484;SIMVASTATINE BIOGARAN 40 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;BIOGARAN;FAUX;14/09/2007;2;1
9366;65907376;ATORVASTATINE VIATRIS 40 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;VIATRIS SANTE;FAUX;06/07/2011;4;1
9367;65907383;PALIPERIDONE BIOGARAN 150 mg, suspension injectable à libération prolongée en seringue préremplie;suspension injectable à libération prolongée;FAUX;;;BIOGARAN;FAUX;20/10/2021;4;1
9368;65908097;CANDESARTAN BIOGARAN 16 mg, comprimé sécable;comprimé sécable;FAUX;;;BIOGARAN;FAUX;16/09/2011;2;1
9369;65909683;BISOPROLOL REF 1,25 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;BIOGARAN;FAUX;08/04/2021;4;1
9370;65910155;SULPIRIDE ZENTIVA 50 mg, gélule;gélule;VRAI;Warning disponibilité;;ZENTIVA FRANCE;FAUX;24/04/2007;2;2
9371;65910283;INFRACYANINE 25 mg/10 mL, poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;FAUX;;;SERB;FAUX;16/04/2003;2;1
9372;65910326;ECONAZOLE TEVA L.P. 150 mg, ovule à libération prolongée;ovule à libération prolongée;FAUX;;;TEVA SANTE;FAUX;22/03/2005;2;1
9373;65911499;INFLUENZINUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;22/07/2011;3;1
9374;65911969;OXOMEMAZINE SANDOZ CONSEIL 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique;solution buvable;FAUX;;;SANDOZ;FAUX;17/03/2015;2;1
9375;65912665;ONTOZRY 200 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/21/1530;ANGELINI PHARMA (ITALIE);VRAI;26/03/2021;5;1
9376;65913137;GONAL-F 75 UI (5,5 microgrammes), poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;FAUX;;EU/1/95/001;MERCK EUROPE (PAYS-BAS);FAUX;20/10/1995;5;1
9377;65913265;TRAZIMERA 420 mg, poudre pour solution à diluer pour perfusion;poudre pour solution à diluer pour perfusion;FAUX;;EU/1/18/1295;PFIZER EUROPE MA EEIG (BELGIQUE);FAUX;31/07/2019;5;1
9378;65913297;BELLIS PERENNIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;01/08/2011;3;1
9379;65913639;COMBODART 0,5 mg/0,4 mg, gélule;gélule;FAUX;;;GLAXOSMITHKLINE;FAUX;28/06/2010;4;1
9380;65913863;VERBASCUM THAPSUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;20/09/2013;3;1
9381;65914011;OPRYMEA 0,26 mg, comprimé à libération prolongée;comprimé à libération prolongée;FAUX;;EU/1/08/469;KRKA (SLOVENIE);FAUX;11/11/2013;5;1
9382;65915088;SPIRAEA ULMARIA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;26/09/2016;3;1
9383;65915266;CYAMEMAZINE VIATRIS 25 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;VIATRIS SANTE;FAUX;13/06/2017;2;1
9384;65915316;LEVOTHYROX 137 microgrammes, comprimé sécable;comprimé sécable;FAUX;;;MERCK SANTE;FAUX;20/09/2018;2;1
9385;65916489;EFIENT 10 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/08/503;SUBSTIPHARM;FAUX;25/02/2009;5;1
9386;65917317;RESELIP 10 mg/20 mg, comprimé;comprimé;FAUX;;;BOUCHARA-RECORDATI;FAUX;03/08/2020;4;1
9387;65917662;METHOTREXATE ACCORD 50 mg/mL, solution injectable en seringue préremplie;solution injectable;FAUX;;;ACCORD HEALTHCARE FRANCE;FAUX;29/11/2017;4;1
9388;65918166;ROSUVASTATINE ZENTIVA 10 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ZENTIVA FRANCE;FAUX;25/05/2016;4;1
9389;65918216;LAMISILDERMGEL 1 %, gel;gel;FAUX;;;GLAXOSMITHKLINE SANTE GRAND PUBLIC;FAUX;23/03/1999;1;1
9390;65918860;NOVORAPID PENFILL 100 unités/ml, solution injectable en cartouche;solution injectable;FAUX;;EU/1/99/119;NOVO NORDISK (DANEMARK);FAUX;07/09/1999;5;1
9391;65918903;XELODA 500 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/00/163;CHEPLAPHARM ARZNEIMITTEL (ALLEMAGNE);FAUX;02/02/2001;5;1
9392;65919229;CUFENCE 200 mg, gélule;gélule;FAUX;;EU/1/19/1365;UNIVAR (PAYS-BAS);FAUX;25/07/2019;5;1
9393;65919752;BICAVERA 1,5 % GLUCOSE, 1,25 mmol/L calcium, solution pour dialyse péritonéale;solution et  solution pour dialyse péritonéale;FAUX;;;FRESENIUS MEDICAL CARE DEUTSCHLAND (ALLEMAGNE);FAUX;22/03/2017;4;1
9394;65919841;BRUKINSA 80 mg, gélule;gélule;FAUX;;EU/1/21/1576;BEIGENE IRELAND (IRLANDE);VRAI;22/11/2021;5;1
9395;65921479;IODURE (123 I) DE SODIUM CURIUMPHARMA 37 MBq/mL, solution injectable;solution injectable;FAUX;;;CURIUM NETHERLANDS (PAYS-BAS);FAUX;09/12/2009;2;1
9396;65921931;GESTODENE/ETHINYLESTRADIOL BIOGARAN 60 microgrammes/15 microgrammes, comprimé pelliculé;comprimé pelliculé et  comprimé pelliculé pelliculé;FAUX;;;BIOGARAN;FAUX;25/03/2009;2;1
9397;65922428;NEORAL 100 mg/ml, solution buvable;solution buvable;FAUX;;;NOVARTIS PHARMA;FAUX;21/11/1995;1;1
9398;65922570;PENICILLINE G PANPHARMA 5 000 000 UI, poudre pour usage parentéral;poudre pour usage parentéral;FAUX;;;PANPHARMA;FAUX;04/06/1996;2;1
9399;65922894;VALSARTAN/HYDROCHLOROTHIAZIDE TEVA 160 mg/12,5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;TEVA SANTE;FAUX;15/09/2009;4;1
9400;65923640;SPASFON, suppositoire;suppositoire;FAUX;;;ACINO FRANCE;FAUX;01/12/1993;2;1
9401;65923811;CHOLESTERINUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;18/06/2019;3;1
9402;65925723;BILASKA 20 mg, comprimé;comprimé;FAUX;;;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG;FAUX;01/04/2011;4;1
9403;65926444;REPAGLINIDE ARROW LAB 2 mg, comprimé;comprimé;FAUX;;;ARROW GENERIQUES;FAUX;10/08/2015;4;1
9404;65926686;GNAPHALIUM POLYCEPHALUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;08/08/2018;3;1
9405;65927172;STALEVO 100 mg/25 mg/200 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/03/260;ORION CORPORATION;FAUX;17/10/2003;5;1
9406;65928057;REMINYL L.P. 24 mg, gélule à libération prolongée;gélule à libération prolongée;VRAI;Warning disponibilité;;JANSSEN CILAG;FAUX;07/01/2005;1;2
9407;65931110;FYCOMPA 8 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/12/776;EISAI (ROYAUME-UNI);FAUX;23/07/2012;5;1
9408;65931808;COLOBREATHE 1 662 500 UI, poudre pour inhalation en gélule;poudre pour inhalation en gélule;FAUX;;EU/1/11/747;TEVA (PAYS-BAS);FAUX;13/02/2012;5;1
9409;65932917;FONGAMIL 1 %, crème;crème;VRAI;Warning disponibilité;;LABORATOIRES BAILLEUL (LUXEMBOURG);FAUX;23/09/1987;2;1
9410;65933104;BETULA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;14/08/2013;3;1
9411;65933346;IASOdopa 0,3 GBq/mL, solution injectable;solution injectable;FAUX;;;CURIUM AUSTRIA (AUTRICHE);FAUX;16/11/2006;1;1
9412;65933549;CARBOCISTEINE SANDOZ CONSEIL 2 % ENFANTS SANS SUCRE, solution buvable édulcorée à la saccharine sodique;solution buvable;VRAI;Warning disponibilité;;SANDOZ;FAUX;18/01/2002;2;2
9413;65934042;CLOXACILLINE STRAGEN 2 g, poudre pour solution injectable/pour perfusion;poudre pour solution injectable pour perfusion;FAUX;;;STRAGEN-FRANCE;FAUX;13/08/2020;2;1
9414;65934455;LIDOCAINE/PRILOCAINE ZENTIVA 5 %, pansement adhésif cutané;pansement adhésif(ve);FAUX;;;ZENTIVA FRANCE;FAUX;24/12/2013;2;1
9415;65935062;PASSIFLORA COMPLEXE N°57, solution buvable en gouttes;solution buvable en gouttes;VRAI;Warning disponibilité;;LEHNING;FAUX;24/12/2020;2;1
9416;65936196;ERYNGIUM AQUATICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;31/10/2019;3;1
9417;65936214;CELSENTRI 20 mg/ml, solution buvable;solution buvable;FAUX;;EU/1/07/418;VIIV HEALTHCARE UK (ROYAUME-UNI);FAUX;06/07/2017;5;1
9418;65936584;ALLOPURINOL ZENTIVA 300 mg, comprimé;comprimé;FAUX;;;ZENTIVA FRANCE;FAUX;21/10/2011;2;1
9419;65937818;TADALAFIL ARROW 20 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ARROW GENERIQUES;FAUX;20/04/2018;2;1
9420;65938521;MIRCERA 30 microgrammes/0,3 ml, solution injectable en seringue préremplie;solution injectable;FAUX;;EU/1/07/400;ROCHE REGISTRATION;FAUX;05/09/2008;5;1
9421;65938724;DOMPERIDONE EG 10 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;28/07/2003;2;2
9422;65940127;GLUCOVANCE 500 mg/5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;MERCK SANTE;FAUX;18/10/2001;1;1
9423;65940166;CARLIN 75 microgrammes/20 microgrammes, comprimé enrobé;comprimé enrobé;FAUX;;;EFFIK;FAUX;05/06/2006;2;1
9424;65940586;RINGER B. BRAUN MELSUNGEN, solution pour perfusion;solution pour perfusion;FAUX;;;B BRAUN MELSUNGEN;FAUX;12/10/2004;2;1
9425;65940757;TERBINAFINE BAILLEUL 250 mg, comprimé;comprimé;FAUX;;;LABORATOIRES BAILLEUL (LUXEMBOURG);FAUX;22/04/2008;2;1
9426;65942427;COSIMPREL 10 mg/10 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;LES LABORATOIRES SERVIER;FAUX;01/08/2016;4;1
9427;65942815;VITRAKVI 20 mg/ml, solution buvable;solution buvable;FAUX;;EU/1/19/1385;BAYER AG (ALLEMAGNE);VRAI;19/09/2019;5;1
9428;65942854;NORDITROPINE SIMPLEXX 10 mg/1,5 ml, solution injectable en cartouche;solution injectable;VRAI;Warning disponibilité;;NOVO NORDISK;FAUX;19/01/2000;1;2
9429;65943479;GLOSSITHIASE, comprimé sublingual;comprimé;FAUX;;;JOLLY JATEL;FAUX;28/03/1997;2;1
9430;65945665;TOPOTECANE ACCORD 1 mg/ml, solution à diluer pour perfusion;solution à diluer pour perfusion;FAUX;;;ACCORD HEALTHCARE FRANCE;FAUX;25/07/2012;4;1
9431;65945882;TRANSLARNA 250 mg, granulés pour suspension buvable;granulés pour suspension buvable;FAUX;;EU/1/13/902;PTC THERAPEUTICS INTERNATIONAL (IRLANDE);VRAI;31/07/2014;5;1
9432;65946692;METHOTREXATE TEVA 2,5 POUR CENT (50 mg/2 mL), solution injectable;solution injectable;FAUX;;;TEVA SANTE;FAUX;27/12/1996;2;1
9433;65946703;FENOFIBRATE SANDOZ 160 mg, comprimé;comprimé;FAUX;;;SANDOZ;FAUX;30/01/2006;2;1
9434;65946710;CHARBON DE BELLOC 125 mg, capsule molle;capsule molle;FAUX;;;LABORATOIRES DE BELLOC;FAUX;08/04/1999;2;1
9435;65949635;CICLOPIROX OLAMINE VIATRIS 1 %, crème;crème;FAUX;;;VIATRIS SANTE;FAUX;19/05/2020;2;1
9436;65950064;SUNLENCA 464 mg, solution injectable;solution injectable;FAUX;;EU/1/22/1671;GILEAD SCIENCES IRELAND UC (IRLANDE);VRAI;17/08/2022;5;1
9437;65950071;NEBIVOLOL/HYDROCHLOROTHIAZIDE VIATRIS 5 mg/12,5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;VIATRIS SANTE;FAUX;20/08/2018;4;1
9438;65950356;MURIATICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;30/11/2009;3;1
9439;65950491;ENTONOX 170 bar, gaz pour inhalation, en bouteille;gaz pour inhalation;FAUX;;;LINDE FRANCE;FAUX;10/07/2012;2;1
9440;65950908;SABINA LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;23/05/2019;3;1
9441;65951045;FOSFOMYCINE SANDOZ ADULTES 3 g, granulés pour solution buvable en sachet;granulés pour solution buvable;FAUX;;;SANDOZ;FAUX;02/11/2009;2;1
9442;65951942;PERINDOPRIL ARGININE/INDAPAMIDE HCS 5 mg/1,25 mg, comprimé sécable;comprimé;FAUX;;;HCS (BELGIQUE);FAUX;29/04/2022;4;1
9443;65952065;ROVAMYCINE 1,5 MILLIONS D'UNITES INTERNATIONALES, lyophilisat pour usage parentéral;lyophilisat pour usage parentéral;FAUX;;;SANOFI WINTHROP INDUSTRIE;FAUX;30/03/1987;2;1
9444;65953509;RETACRIT 3000 UI/0,9 ml, solution injectable en seringue préremplie;solution injectable;FAUX;;EU/1/07/431;PFIZER EUROPE MA EEIG (BELGIQUE);FAUX;18/12/2007;5;1
9445;65953612;NORDITROPINE FLEXPRO 10 mg/1,5 ml, solution injectable en stylo prérempli;solution injectable;FAUX;;;NOVO NORDISK;FAUX;30/04/2019;1;1
9446;65953669;AZACITIDINE ACCORD 25 mg/mL, poudre pour suspension injectable;poudre pour suspension injectable;FAUX;;EU/1/19/1413;ACCORD HEALTHCARE (ESPAGNE);FAUX;13/02/2020;5;1
9447;65955054;MIRTAZAPINE EG 15 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;10/03/2008;2;1
9448;65955652;SPASMAG, solution buvable en ampoule;solution buvable;FAUX;;;GRIMBERG;FAUX;21/09/1976;2;1
9449;65956455;OLIBANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;23/02/2021;3;1
9450;65958239;CIALIS 2,5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/02/237;ELI LILLY NEDERLAND BV (PAY-BAS);FAUX;20/06/2007;5;1
9451;65958869;SOLUBACTER 1 POUR CENT, solution pour application locale;solution pour application;VRAI;Warning disponibilité;;LABORATOIRE XO;FAUX;03/06/1994;2;1
9452;65959330;TELMISARTAN/HYDROCHLOROTHIAZIDE ACCORD 40 mg/12,5 mg comprimé;comprimé;FAUX;;;ACCORD HEALTHCARE FRANCE;FAUX;29/05/2018;4;1
9453;65959736;ALMOTRIPTAN ZENTIVA 12,5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ZENTIVA FRANCE;FAUX;02/10/2015;1;1
9454;65959743;ATAZANAVIR ZENTIVA 150 mg, gélule;gélule;VRAI;Warning disponibilité;;ZENTIVA FRANCE;FAUX;09/07/2018;4;2
9455;65959832;DOPACEPTIN 5 mg/ml, solution pour perfusion;solution pour perfusion;FAUX;;;EVER NEURO PHARMA (AUTRICHE);FAUX;20/03/2014;4;1
9456;65960119;TRIMEBUTINE VIATRIS 200 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;VIATRIS SANTE;FAUX;02/05/2002;2;1
9457;65961598;TADALAFIL EVOLUGEN PHARMA 5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;EVOLUPHARM;FAUX;06/02/2023;2;1
9458;65963453;APREXEVO 150 mg/5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;SANOFI WINTHROP INDUSTRIE;FAUX;14/05/2020;4;1
9459;65963599;TIBERAL 500 mg, solution injectable pour perfusion;solution injectable pour perfusion;FAUX;;;SERB;FAUX;01/09/1983;2;1
9460;65963962;CARBO ANIMALIS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;06/05/2020;3;1
9461;65964911;AMBISOME liposomal 50 mg, poudre pour dispersion pour perfusion;poudre pour dispersion pour perfusion;FAUX;;;GILEAD SCIENCES;FAUX;02/06/1998;2;1
9462;65964950;ZAVEDOS 10 mg/10 ml, solution pour perfusion;solution pour perfusion;FAUX;;;PFIZER HOLDING FRANCE;FAUX;28/07/1998;2;1
9463;65967124;OXINATE D'INDIUM [111 In] CURIUMPHARMA 37 MBq/mL, solution pour marquage in vitro des éléments figurés du sang;solution et  solution pour marquage;FAUX;;;CURIUM NETHERLANDS (PAYS-BAS);FAUX;25/07/2000;2;1
9464;65968176;GINKOPLANT 40 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;WILLMAR SCHWABE;FAUX;11/08/2017;2;1
9465;65969680;ROSUVASTATINE TEVA 20 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;TEVA SANTE;FAUX;25/05/2016;4;1
9466;65969730;ATACAND 4 mg, comprimé sécable;comprimé sécable;FAUX;;;CHEPLAPHARM ARZNEIMITTEL (ALLEMAGNE);FAUX;07/01/1998;1;1
9467;65970533;BETAHISTINE EG 8 mg, comprimé;comprimé;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;14/05/2010;2;1
9468;65970775;CAPECITABINE ACCORD 500 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/12/762;ACCORD HEALTHCARE (ESPAGNE);FAUX;20/04/2012;5;1
